class combined
population/area	coverage	average_hit	pc90
World	908	0.0	0.62
World	909	0.0	0.62
World	910	0.0	0.62
World	911	0.0	0.62
World	912	0.0	0.62
World	913	0.0	0.62
World	914	0.0	0.62
World	915	0.0	0.62
World	916	0.0	0.62
World	917	0.0	0.62
World	918	0.0	0.62
World	919	0.0	0.62
World	920	0.0	0.62
World	921	0.0	0.62
World	922	0.0	0.62
World	923	0.0	0.62
World	924	0.0	0.62
World	925	0.0	0.62
World	926	0.0	0.62
World	927	0.0	0.62
World	928	0.0	0.62
World	929	0.0	0.62
World	930	0.0	0.62
World	931	0.0	0.62
World	932	0.0	0.62
World	933	0.0	0.62
World	934	0.0	0.62
World	935	0.0	0.62
World	936	0.0	0.62
World	937	0.0	0.62
World	938	0.0	0.62
World	939	0.0	0.62
World	940	0.0	0.62
World	941	0.0	0.62
World	942	0.0	0.62
World	943	0.0	0.62
World	944	0.0	0.62
World	945	0.0	0.62
World	946	0.0	0.62
World	947	0.0	0.62
World	948	0.0	0.62
World	949	0.0	0.62
World	950	0.0	0.62
World	951	0.0	0.62
World	952	0.0	0.62
World	953	0.0	0.62
World	954	0.0	0.62
World	955	0.0	0.62
World	956	0.0	0.62
World	957	0.0	0.62
World	958	0.0	0.62
World	959	0.62	0.62


